B2,B3,B4,B5,B6,B7,B8,class
178.5,310.0,330.0,595.0,1402.5,1794.5,1729.0,10
341.5,568.0,624.5,1328.0,1789.5,1923.0,1892.0,10
260.5,377.0,314.0,686.5,1677.5,1892.0,2206.0,10
239.5,371.5,435.0,1029.0,1493.5,1598.5,1532.0,10
273.0,495.0,432.0,952.5,2267.5,2662.5,2685.5,10
430.0,674.5,857.0,1199.5,1652.0,1840.0,2057.0,10
361.5,520.0,481.0,898.5,1998.0,2338.0,2406.0,10
722.0,916.5,1169.5,1508.5,2046.5,2237.5,2287.5,10
129.5,235.0,220.0,541.0,1611.0,1943.0,1857.0,10
407.0,644.0,629.0,903.0,1623.0,1840.0,1977.0,10
806.5,1085.0,1084.0,1354.5,2308.0,2559.5,2567.0,10
917.0,1193.0,1462.0,1663.0,2145.5,2545.0,2729.0,10
1003.0,1330.0,1397.0,1511.0,2178.5,2478.0,2873.0,10
422.0,560.0,639.0,960.0,1730.0,2029.0,2154.0,10
200.0,456.0,320.0,895.0,2315.5,2731.5,3468.0,10
451.0,702.0,756.5,1146.0,2499.5,2952.0,3138.0,10
506.5,749.5,744.5,989.0,2061.5,2338.5,2948.0,10
268.5,410.5,398.0,793.5,1669.5,1919.5,1646.0,10
242.5,380.0,411.5,578.0,1282.0,1508.5,1712.5,10
449.5,731.0,876.0,1204.5,2243.0,2681.5,2848.0,10
518.0,797.0,898.5,1057.5,1599.5,1808.0,2005.0,10
346.5,440.5,379.5,765.5,1681.5,1935.5,1982.0,10
625.0,919.0,1319.0,1471.0,1584.5,1692.5,1834.5,10
271.5,326.5,316.5,648.0,1288.5,1517.0,1528.0,10
295.5,414.0,314.5,843.0,1985.5,2349.0,2514.0,10
278.5,529.5,437.5,737.0,1590.0,1914.5,2867.5,10
311.0,523.0,407.0,1037.5,2286.0,2696.0,3122.0,10
337.0,587.0,589.0,1047.0,1844.5,2214.5,2621.5,10
387.0,564.0,685.0,807.0,1858.0,2309.5,2617.0,10
312.0,513.5,562.0,1737.0,2635.0,3044.0,3020.0,10
382.5,525.0,637.0,904.5,1738.0,2052.0,2304.0,10
345.5,489.0,476.0,670.5,1472.5,1711.0,2090.0,10
462.0,603.0,788.0,929.0,1142.0,1284.0,1398.0,10
533.5,708.5,809.0,975.0,1676.5,2040.5,2694.0,10
550.5,828.5,1240.0,1559.0,1778.5,1998.5,1986.0,10
311.0,472.5,306.5,764.0,1983.5,2325.5,2469.0,10
419.0,686.0,703.5,1284.0,2426.5,2846.5,3120.0,10
488.0,620.0,668.5,911.0,1578.0,1826.5,2002.0,10
176.0,265.5,242.5,535.5,1306.0,1555.5,1283.0,10
123.0,200.0,187.0,433.0,1329.5,1668.0,1744.0,10
449.0,629.5,805.5,1062.5,1621.5,1826.0,1876.0,10
416.0,600.0,820.0,1207.0,1836.0,2109.0,1984.0,10
535.0,762.0,866.0,1069.0,1701.0,1845.5,1843.0,10
383.5,575.0,629.5,864.0,1446.0,1654.5,1911.0,10
198.5,339.0,266.5,808.5,1611.5,2090.0,2342.0,10
433.0,688.5,772.5,1169.0,2494.0,2978.5,3117.5,10
136.5,184.0,173.0,284.5,534.0,717.5,619.0,10
441.5,595.0,789.0,1038.0,1325.5,1475.0,1570.0,10
55.5,108.5,97.0,311.5,938.0,1160.5,821.0,10
316.0,482.5,593.0,708.5,1265.0,1489.0,1872.0,10
626.0,938.0,1175.0,1497.0,1920.0,2156.5,2101.0,10
837.5,1250.0,1804.0,1929.0,2385.0,2576.5,2888.0,10
343.5,514.0,669.0,1067.5,1773.0,2012.5,1974.5,10
480.5,804.0,976.0,1252.5,2365.0,2873.0,2545.0,10
204.5,328.5,285.0,585.5,1276.0,1567.5,2030.0,10
802.0,1157.0,1470.0,1556.0,2029.5,2289.0,2474.0,10
610.5,945.5,1009.0,1381.5,2377.0,2484.5,2968.0,10
232.0,357.5,357.0,665.0,1765.5,2233.5,2311.0,10
96.0,142.0,142.0,316.5,705.5,803.5,860.5,10
378.0,556.0,641.5,945.0,1496.0,1669.5,2102.0,10
219.5,329.0,357.5,763.5,1779.0,2213.5,1947.0,10
513.0,819.0,924.0,1370.0,2182.0,2521.0,2984.0,10
747.0,1037.0,1440.0,1594.5,1905.5,2101.0,2315.0,10
550.0,791.5,908.0,1627.5,2163.0,2376.5,1984.0,10
188.0,223.5,252.5,345.0,596.5,746.5,777.0,10
315.0,484.0,511.0,889.0,1795.0,2140.5,2147.5,10
360.5,612.5,670.0,1127.5,2155.5,2453.0,2451.0,10
193.5,281.5,286.0,504.0,1196.5,1401.0,1416.5,10
337.0,547.0,573.5,1011.0,1732.5,1945.0,2182.0,10
286.5,462.0,501.0,911.0,1688.0,2049.5,2050.0,10
527.5,718.0,793.0,959.5,1621.0,1859.5,2218.0,10
496.0,669.5,892.0,1311.5,1598.5,1809.0,1833.0,10
303.0,470.0,526.0,1053.0,2081.0,2484.0,2624.0,10
286.0,452.0,450.0,803.0,2139.0,2743.0,2862.0,10
346.5,468.0,574.5,813.5,1492.0,1796.0,1878.0,10
595.5,793.0,965.0,1176.0,1433.5,1519.0,1441.5,10
292.0,322.0,279.0,732.0,1423.5,1662.5,1115.0,10
626.0,934.0,1427.0,1602.5,2189.5,2446.0,2376.0,10
301.0,461.0,279.5,816.5,2234.0,2631.5,2930.0,10
728.0,964.0,971.0,1183.0,2656.0,3093.0,3353.0,10
686.0,905.0,1139.0,1385.5,1913.5,2124.5,1921.5,10
301.0,484.0,660.0,962.0,1623.0,1854.0,1696.0,10
172.5,313.0,329.5,526.5,1251.0,1542.5,1790.5,10
195.0,298.0,300.0,684.0,1632.0,2023.0,1900.0,10
283.5,489.5,584.0,1186.0,1866.5,2110.0,1990.0,10
297.5,439.0,626.5,1310.5,1709.5,1986.0,1521.0,10
458.5,626.0,733.0,1507.0,1801.5,1967.5,1508.0,10
347.5,446.0,553.5,762.5,1150.5,1332.0,1336.0,10
384.5,574.0,579.5,882.0,2074.0,2290.0,2917.0,10
125.5,158.0,190.0,354.5,549.5,640.0,528.0,10
309.5,478.0,338.0,931.0,2086.5,2422.0,2412.0,10
452.0,732.0,816.0,1669.5,2556.5,2892.0,2913.5,10
322.5,471.0,464.0,774.0,1939.0,2291.5,2294.0,10
337.0,549.0,551.0,1325.0,2400.0,2847.0,2657.0,10
209.5,336.0,314.0,976.0,1928.5,2295.5,1785.0,10
375.5,575.0,633.0,1345.0,2365.0,2763.5,2716.0,10
210.0,302.0,350.0,597.0,1053.0,1265.0,1418.0,10
254.0,399.5,525.5,1122.5,1780.0,2130.5,1983.0,10
423.5,596.0,573.0,1046.0,1990.5,2422.0,2060.0,10
250.5,388.5,240.0,750.5,2130.5,2532.5,2605.0,10
342.5,516.0,533.0,793.0,1640.5,2013.0,2478.5,10
142.0,320.0,221.0,636.0,1484.0,1756.0,1848.0,10
321.0,541.0,433.5,778.0,1387.0,1598.5,1889.0,10
261.5,343.0,403.0,629.0,934.0,1083.5,987.5,10
525.5,642.0,645.0,841.0,1438.0,1614.5,1558.0,10
642.5,936.0,1011.0,1641.5,2679.0,3069.5,3216.0,10
206.0,289.5,258.5,612.5,1354.0,1547.0,1559.0,10
301.0,483.0,505.0,758.5,1536.5,1876.5,2329.0,10
72.0,151.0,126.5,268.0,909.0,1123.5,1226.0,10
613.5,827.5,950.5,1192.0,1945.0,2220.5,2699.5,10
681.0,963.5,1402.0,1587.0,1903.0,2154.0,2274.0,10
947.0,1131.0,1258.5,1693.5,2115.5,2307.0,2396.0,10
231.5,395.0,323.5,602.5,1616.5,2022.0,2116.0,10
308.0,457.5,472.5,642.0,997.5,1145.5,1283.5,10
323.5,475.0,441.0,820.0,1555.5,1790.5,1725.5,10
451.0,638.0,720.0,948.0,2152.0,2675.0,2710.0,10
626.0,867.0,1097.0,1231.5,1581.0,1733.5,1855.0,10
224.5,340.0,351.5,653.0,1597.5,2026.5,2049.5,10
330.0,481.5,679.5,871.0,1143.5,1291.0,1385.0,10
322.5,456.0,601.0,879.0,1190.5,1317.0,1174.0,10
167.5,321.0,320.0,646.5,1386.0,1688.5,1558.5,10
556.5,818.0,919.5,1664.5,2307.5,2547.0,2438.0,10
343.5,489.0,451.0,540.0,1196.5,1337.0,1964.0,10
302.5,397.0,299.5,706.0,1846.5,2229.0,2330.0,10
611.0,905.0,1200.0,1683.0,2037.5,2209.0,1979.0,10
363.5,573.5,813.0,1392.5,1757.5,1936.0,1749.0,10
336.0,621.5,638.0,1043.5,1944.5,2257.0,2608.0,10
537.0,842.5,943.5,1371.5,2163.5,2512.0,2522.0,10
136.5,208.0,238.0,442.0,908.5,1115.5,1089.0,10
606.0,884.0,1316.0,1556.0,2094.0,2402.0,2380.0,10
770.0,1093.0,1518.0,1709.5,2139.5,2387.5,2610.0,10
497.5,703.0,908.5,1282.5,1882.0,2179.5,2221.0,10
992.5,1330.0,1612.0,1630.5,1990.5,2112.0,2418.0,10
202.0,317.0,323.0,495.0,1016.0,1205.0,1278.0,10
665.0,990.0,1068.0,1352.5,2289.0,2634.0,2781.5,10
411.5,604.5,694.5,1034.0,2058.0,2458.0,2840.0,10
400.5,638.0,715.0,1170.0,2142.5,2475.0,2813.5,10
323.5,532.0,574.0,1258.5,1994.5,2256.5,2240.0,10
373.5,579.5,707.5,1031.5,1657.0,1893.5,2212.0,10
345.0,499.5,656.5,1050.0,1955.5,2338.5,2669.0,10
381.0,560.5,805.0,1184.5,1508.5,1707.0,1624.5,10
211.5,320.0,378.0,764.0,1770.0,2188.0,2180.0,10
319.0,508.5,345.0,929.0,2837.0,3356.0,3196.0,10
280.0,439.5,479.0,743.5,1626.5,2013.5,2532.0,10
102.0,197.0,154.0,417.0,1511.0,2062.0,2160.0,10
726.0,1010.0,1216.0,1707.0,2296.0,2576.0,2471.0,10
388.0,566.0,642.0,950.5,1375.5,1514.0,1575.0,10
173.5,266.5,354.0,776.5,1176.0,1331.0,1129.0,10
310.0,542.0,615.0,949.5,1587.0,1811.5,2065.0,10
