B2,B3,B4,B5,B6,B7,B8,class
437.5,648.0,848.5,1675.5,2106.0,2316.5,1989.0,50
451.5,709.0,1055.0,1704.0,2098.5,2314.5,2226.0,50
1606.0,1954.0,2252.0,2321.5,2471.0,2510.0,2577.0,50
746.0,878.0,1211.0,1413.0,1509.0,1650.0,1633.0,50
1097.0,1576.0,2119.0,2166.0,2323.5,2386.5,2458.0,50
998.0,1305.0,1648.0,1639.0,1792.0,1894.0,2010.0,50
519.0,791.0,1107.0,1564.5,1806.5,1923.0,1691.0,50
1266.0,1666.0,2088.0,2342.5,2360.5,2422.0,2289.0,50
1332.0,1551.0,1835.0,1969.5,2188.0,2309.5,2210.0,50
976.0,1290.0,1864.0,2062.0,2328.0,2502.0,2586.0,50
938.0,1368.0,1835.0,2068.0,2282.5,2464.5,2595.5,50
663.5,874.0,1147.0,1708.0,2204.0,2364.5,1747.5,50
2814.0,3024.0,3182.0,4175.0,4092.0,4084.5,3458.0,50
1282.0,1652.0,2045.0,2033.5,2109.0,2154.5,2460.0,50
711.5,1047.0,1117.0,1544.0,2011.0,2245.0,2084.0,50
1753.0,2137.0,2343.0,2448.0,2750.0,2940.0,3078.5,50
884.0,1224.0,1852.0,1967.5,2152.5,2267.0,2318.0,50
2409.0,2737.0,2926.0,2504.0,2653.5,2772.5,3176.5,50
690.0,755.0,867.0,1113.5,1193.0,1244.0,973.0,50
857.5,1035.0,1192.0,1164.0,1198.0,1239.0,1294.0,50
1112.0,1473.0,2124.0,2161.5,2414.5,2464.0,2708.0,50
2279.0,2442.0,2648.0,2175.0,2387.5,2509.0,2915.0,50
681.5,986.5,1431.0,1696.5,1841.5,1978.5,1870.0,50
605.0,918.0,1199.0,1661.0,2001.5,2177.5,2295.0,50
1006.5,1259.0,1737.0,2440.5,2488.5,2530.5,1754.0,50
1146.0,1457.0,1819.0,1865.5,2014.0,2112.5,2047.5,50
961.5,1323.0,1632.0,1908.5,2072.5,2182.0,1957.5,50
1090.0,1528.0,1967.0,2191.5,2337.5,2444.5,2388.0,50
799.5,1097.0,1187.0,1683.5,1834.5,1917.0,1458.0,50
547.5,738.5,972.0,1626.5,1883.0,1992.5,1716.5,50
1000.0,1286.0,1601.0,1980.5,2166.5,2154.5,1940.0,50
1092.0,1527.0,1967.0,2534.0,2682.0,2777.5,2615.0,50
906.5,1263.0,1679.0,1821.5,2179.0,2315.0,2457.5,50
890.5,1125.0,1816.0,2085.0,2240.5,2343.5,2297.5,50
1114.0,1420.0,1686.0,1712.0,2202.0,2472.0,2568.0,50
1162.0,1600.0,1904.0,1710.5,2508.0,2797.5,2974.5,50
796.0,1102.0,1537.0,1740.5,1957.0,2060.5,2250.5,50
813.0,1061.0,1430.0,1875.5,1910.0,1987.0,1535.5,50
665.0,1049.0,1510.0,2044.5,2377.5,2544.0,2515.0,50
1346.0,1654.0,1995.0,2294.5,2385.0,2430.5,2165.0,50
914.5,1257.0,1680.0,1797.0,2032.0,2220.5,2402.0,50
1094.0,1339.0,1560.0,1777.0,2049.5,2215.0,2181.0,50
1162.0,1447.0,1678.0,2060.5,2035.0,2079.5,1653.0,50
1295.0,1583.0,2388.0,2382.0,2458.0,2457.0,2524.5,50
997.5,1400.0,1783.0,2041.5,2235.5,2389.0,2416.5,50
681.0,764.5,955.0,1148.0,1221.5,1320.0,1094.0,50
657.5,864.5,1162.0,1209.0,1420.5,1527.0,1722.0,50
657.5,966.0,1380.0,1666.5,1839.5,1996.0,2058.0,50
1194.0,1594.0,2078.0,2404.0,2696.5,2806.5,2729.0,50
1462.0,1964.0,2264.0,2510.0,2707.0,2810.0,2868.0,50
1580.0,1995.0,2309.0,2001.0,2217.5,2337.5,2597.0,50
723.0,1136.0,1431.0,1842.0,2102.5,2275.0,2234.0,50
617.5,911.5,1275.0,1707.0,2475.0,2882.0,2676.5,50
1114.0,1364.0,1580.0,1624.0,1798.5,1916.0,1790.5,50
682.0,978.5,1584.0,1884.5,1953.5,1985.5,1994.0,50
1301.0,1660.0,2170.0,2172.0,2316.0,2477.0,2559.0,50
899.5,1226.0,1587.5,1914.0,2193.0,2344.5,2226.5,50
1002.0,1408.0,1944.5,2149.5,2432.5,2585.0,2638.0,50
604.0,871.5,994.0,1610.0,2196.5,2363.0,2185.0,50
