iter	MultiClass	Accuracy
0	1.680429088	0.6903254189
1	1.522627164	0.6912274296
2	1.412088182	0.6923053384
3	1.325717801	0.6923444684
4	1.25853777	0.6937290579
5	1.204305053	0.6948539526
6	1.159104605	0.6974542663
7	1.120463837	0.6982472666
8	1.087740299	0.698479054
9	1.060447897	0.6988425967
10	1.035968358	0.6993967766
11	1.014947592	0.6996133759
12	0.9960889942	0.6997967558
13	0.9795823625	0.7003489156
14	0.9679578203	0.7001393493
15	0.9549804575	0.7004589735
16	0.9436380309	0.7009887626
17	0.9331641504	0.7013523053
18	0.9249520034	0.701562545
19	0.916036171	0.7020605363
20	0.9097584982	0.7022307482
21	0.9021000715	0.7027249238
22	0.8966339126	0.7029175812
23	0.8917195022	0.7033174107
24	0.8856593179	0.7037960989
25	0.8818645059	0.7047368655
26	0.8771124124	0.7048841082
27	0.8725867569	0.7051837559
28	0.8678273104	0.7056984317
29	0.8650708255	0.7061427034
30	0.8613552282	0.7064023233
31	0.8595940911	0.7065590678
32	0.856512559	0.7070009453
33	0.8543483364	0.7072596674
34	0.8524088707	0.7077458374
35	0.8508174504	0.7079884735
36	0.848632826	0.7080734672
37	0.8463325099	0.7083749854
38	0.8453397104	0.7085347227
39	0.8430657264	0.7087914994
40	0.8416187752	0.7091862413
41	0.8400348512	0.709270038
42	0.8390911957	0.7094665859
43	0.837818346	0.7095788135
44	0.8362448238	0.7097194721
45	0.8351767939	0.7099525315
46	0.8340636383	0.710040069
47	0.833391169	0.7101739191
48	0.8314132449	0.7103703174
49	0.8301274236	0.7105499564
50	0.829184144	0.710625523
51	0.8279956035	0.7107122376
52	0.8267719598	0.711088649
53	0.8254257903	0.7112280357
54	0.8247864927	0.7113268708
55	0.824194101	0.7113743056
56	0.8234893252	0.7116176899
57	0.8227688851	0.7116759735
58	0.8210725617	0.7119649221
59	0.8196727867	0.7121468805
60	0.8188318232	0.7122371115
61	0.8176791864	0.7123491895
62	0.8172445018	0.7124928408
63	0.8165635821	0.7127279202
64	0.8158264728	0.7129163878
65	0.8152741832	0.7129776641
66	0.8142435558	0.7130663987
67	0.8135770122	0.7133121772
68	0.8130422521	0.7133838532
69	0.8124252715	0.7134202898
70	0.8120029217	0.713466752
71	0.811587057	0.7137081162
72	0.8110736948	0.7139028685
73	0.8100283462	0.7140315562
74	0.809656475	0.7141174477
75	0.8086898962	0.7143565673
76	0.8083210499	0.7144614627
77	0.8079637447	0.7147088872
78	0.8077049293	0.7147308838
79	0.8069426218	0.7149639431
80	0.8059885479	0.715094202
81	0.8056497089	0.7151660277
82	0.8051367487	0.7154162952
83	0.8047971243	0.7155760325
84	0.8035840263	0.7156856415
85	0.8030046961	0.7157504342
86	0.8024513441	0.7158043035
87	0.8015531068	0.7160015996
88	0.801178271	0.7161587931
89	0.8005315835	0.7163055868
90	0.7997643591	0.716437342
91	0.7991318734	0.7164625558
92	0.7988000728	0.7165606427
93	0.7980796788	0.7166987575
94	0.7977794816	0.7168310365
95	0.7971363371	0.7168954551
96	0.7967502311	0.7170222723
97	0.7963206087	0.7170630483
98	0.7956474259	0.7172780764
99	0.7955083822	0.7172942372
