iter	Passed	Remaining
0	1767	175004
1	3281	160801
2	4685	151490
3	6129	147111
4	7431	141200
5	8769	137390
6	10138	134702
7	11597	133374
8	12960	131044
9	14281	128531
10	15713	127138
11	17066	125151
12	18442	123424
13	19794	121596
14	20949	118715
15	22387	117531
16	23855	116471
17	25365	115552
18	26835	114402
19	28695	114780
20	30122	113316
21	31752	112577
22	33345	111636
23	34832	110303
24	36350	109051
25	37611	107048
26	39014	105482
27	40444	103999
28	41888	102553
29	43096	100557
30	44506	99062
31	45717	97149
32	47136	95701
33	48455	94061
34	49857	92592
35	51100	90845
36	52447	89302
37	53708	87629
38	54841	85778
39	56168	84253
40	57461	82688
41	58576	80890
42	59673	79101
43	60968	77596
44	62206	76030
45	63441	74474
46	64569	72812
47	65682	71156
48	67129	69869
49	68377	68377
50	69494	66769
51	70762	65318
52	72163	63993
53	73395	62521
54	74463	60924
55	75507	59327
56	76596	57783
57	77664	56240
58	79112	54976
59	80598	53732
60	81759	52272
61	83145	50959
62	84224	49465
63	85424	48051
64	86573	46616
65	87633	45144
66	88956	43814
67	90152	42424
68	91278	41009
69	92440	39617
70	93509	38193
71	94637	36803
72	95759	35417
73	97142	34130
74	98259	32753
75	99622	31459
76	100692	30077
77	101860	28729
78	102940	27363
79	104321	26080
80	105775	24811
81	106853	23455
82	108096	22140
83	109251	20809
84	110816	19555
85	112027	18236
86	113207	16916
87	114544	15619
88	115837	14317
89	117290	13032
90	119164	11785
91	120832	10507
92	121954	9179
93	123379	7875
94	124500	6552
95	125911	5246
96	127099	3930
97	128427	2620
98	129945	1312
99	130996	0
